geo_level,geo_level_label_value,geography,geography_label_value,ind_level,industry,industry_label_value,ownercode,ownercode_label_value,race,race_label_value,ethnicity,ethnicity_label_value,firmsize,firmsize_label_value,agg_level,year_pd,n_employed,county,pop_total,pop_white,pop_black,pop_native,pop_asian,pop_hispanic,population_by_race,baseline_emp_race,recovery_index_race,jobs_per_capita
C,Counties,6001,"Alameda, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,360841.0,Alameda,1643700,523391,172329,5288,483067,369061,523391,363884.0,99.1637444900023,0.6894291265994257
C,Counties,6001,"Alameda, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,57709.0,Alameda,1643700,523391,172329,5288,483067,369061,172329,58681.0,98.34358651011401,0.33487689245570973
C,Counties,6001,"Alameda, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,7701.0,Alameda,1643700,523391,172329,5288,483067,369061,5288,8013.0,96.10632721827031,1.4563161875945536
C,Counties,6001,"Alameda, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,167632.0,Alameda,1643700,523391,172329,5288,483067,369061,483067,171851.0,97.54496627892767,0.3470160453932891
C,Counties,6013,"Contra Costa, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,197550.0,Contra Costa,1133247,502951,93683,2376,182135,288101,502951,198311.0,99.61625930987186,0.3927818018057425
C,Counties,6013,"Contra Costa, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,24567.0,Contra Costa,1133247,502951,93683,2376,182135,288101,93683,25315.0,97.04523010073079,0.26223541090699487
C,Counties,6013,"Contra Costa, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,3682.0,Contra Costa,1133247,502951,93683,2376,182135,288101,2376,3711.0,99.21853947722987,1.5496632996632997
C,Counties,6013,"Contra Costa, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,58412.0,Contra Costa,1133247,502951,93683,2376,182135,288101,182135,59839.0,97.6152676348201,0.3207071677601779
C,Counties,6041,"Marin, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,63818.0,Marin,260295,185809,5597,435,14815,41335,185809,63542.0,100.43435837713639,0.34346021990323394
C,Counties,6041,"Marin, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,5110.0,Marin,260295,185809,5597,435,14815,41335,5597,4993.0,102.34328059282996,0.9129891013042701
C,Counties,6041,"Marin, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,1079.0,Marin,260295,185809,5597,435,14815,41335,435,1070.0,100.84112149532712,2.4804597701149427
C,Counties,6041,"Marin, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,12066.0,Marin,260295,185809,5597,435,14815,41335,14815,12236.0,98.6106570774763,0.814444819439757
C,Counties,6055,"Napa, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,45034.0,Napa,140530,74159,2764,326,11210,47687,74159,46526.0,96.79319090401066,0.6072627732304913
C,Counties,6055,"Napa, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,2608.0,Napa,140530,74159,2764,326,11210,47687,2764,2817.0,92.58075967341142,0.9435600578871202
C,Counties,6055,"Napa, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,838.0,Napa,140530,74159,2764,326,11210,47687,326,878.0,95.44419134396355,2.5705521472392636
C,Counties,6055,"Napa, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,4977.0,Napa,140530,74159,2764,326,11210,47687,11210,5336.0,93.27211394302849,0.443978590544157
C,Counties,6075,"San Francisco, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,332267.0,San Francisco,870044,353670,43619,1363,294846,132651,353670,341944.0,97.17000444517231,0.9394831339949671
C,Counties,6075,"San Francisco, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,35699.0,San Francisco,870044,353670,43619,1363,294846,132651,43619,37711.0,94.66468669618943,0.8184277493752723
C,Counties,6075,"San Francisco, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,4825.0,San Francisco,870044,353670,43619,1363,294846,132651,1363,5060.0,95.35573122529645,3.5399853264856933
C,Counties,6075,"San Francisco, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,164507.0,San Francisco,870044,353670,43619,1363,294846,132651,294846,172972.0,95.10614434706196,0.5579421121534631
C,Counties,6081,"San Mateo, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,193968.0,San Mateo,765935,303047,16838,1151,212474,189002,303047,200685.0,96.65296359967112,0.6400591327417859
C,Counties,6081,"San Mateo, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,16707.0,San Mateo,765935,303047,16838,1151,212474,189002,16838,17746.0,94.1451594725572,0.9922199786197886
C,Counties,6081,"San Mateo, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,3167.0,San Mateo,765935,303047,16838,1151,212474,189002,1151,3321.0,95.36284251731406,2.751520417028671
C,Counties,6081,"San Mateo, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,109458.0,San Mateo,765935,303047,16838,1151,212474,189002,212474,116318.0,94.10237452500903,0.5151595018684639
C,Counties,6085,"Santa Clara, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,490165.0,Santa Clara,1922200,615912,45379,3003,685265,495455,615912,495298.0,98.9636542041357,0.795836093467898
C,Counties,6085,"Santa Clara, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,37127.0,Santa Clara,1922200,615912,45379,3003,685265,495455,45379,38703.0,95.92796424049816,0.8181537715683466
C,Counties,6085,"Santa Clara, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,9786.0,Santa Clara,1922200,615912,45379,3003,685265,495455,3003,10152.0,96.39479905437352,3.2587412587412588
C,Counties,6085,"Santa Clara, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,324021.0,Santa Clara,1922200,615912,45379,3003,685265,495455,685265,337204.0,96.09049714712755,0.47284043399268894
C,Counties,6095,"Solano, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,65439.0,Solano,438530,168870,59500,1258,65994,114406,168870,65628.0,99.71201316511245,0.3875111032154912
C,Counties,6095,"Solano, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,9873.0,Solano,438530,168870,59500,1258,65994,114406,59500,10218.0,96.62360540223136,0.1659327731092437
C,Counties,6095,"Solano, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,1474.0,Solano,438530,168870,59500,1258,65994,114406,1258,1513.0,97.42233972240581,1.1717011128775834
C,Counties,6095,"Solano, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,17329.0,Solano,438530,168870,59500,1258,65994,114406,65994,17890.0,96.8641699273337,0.26258447737673124
C,Counties,6097,"Sonoma, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,123672.0,Sonoma,501317,318237,7192,2068,19720,132985,318237,127173.0,97.24705715835908,0.38861603144826024
C,Counties,6097,"Sonoma, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,6198.0,Sonoma,501317,318237,7192,2068,19720,132985,7192,6612.0,93.73865698729583,0.8617908787541713
C,Counties,6097,"Sonoma, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,2814.0,Sonoma,501317,318237,7192,2068,19720,132985,2068,2982.0,94.36619718309859,1.3607350096711799
C,Counties,6097,"Sonoma, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2018-01-01,13361.0,Sonoma,501317,318237,7192,2068,19720,132985,19720,13847.0,96.49021448689247,0.6775354969574037
C,Counties,6001,"Alameda, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,363884.0,Alameda,1656754,520447,171168,5210,496006,371019,520447,363884.0,100.0,0.6991759007161152
C,Counties,6001,"Alameda, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,58681.0,Alameda,1656754,520447,171168,5210,496006,371019,171168,58681.0,100.0,0.3428269302673397
C,Counties,6001,"Alameda, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,8013.0,Alameda,1656754,520447,171168,5210,496006,371019,5210,8013.0,100.0,1.538003838771593
C,Counties,6001,"Alameda, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,171851.0,Alameda,1656754,520447,171168,5210,496006,371019,496006,171851.0,100.0,0.3464695991580747
C,Counties,6013,"Contra Costa, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,198311.0,Contra Costa,1142251,500592,95892,2278,188237,292298,500592,198311.0,100.0,0.39615295490139674
C,Counties,6013,"Contra Costa, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,25315.0,Contra Costa,1142251,500592,95892,2278,188237,292298,95892,25315.0,100.0,0.2639949109414758
C,Counties,6013,"Contra Costa, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,3711.0,Contra Costa,1142251,500592,95892,2278,188237,292298,2278,3711.0,100.0,1.629060579455663
C,Counties,6013,"Contra Costa, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,59839.0,Contra Costa,1142251,500592,95892,2278,188237,292298,188237,59839.0,100.0,0.31789180660550265
C,Counties,6041,"Marin, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,63542.0,Marin,259943,184960,5527,438,15110,41527,184960,63542.0,100.0,0.3435445501730104
C,Counties,6041,"Marin, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,4993.0,Marin,259943,184960,5527,438,15110,41527,5527,4993.0,100.0,0.903383390627827
C,Counties,6041,"Marin, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,1070.0,Marin,259943,184960,5527,438,15110,41527,438,1070.0,100.0,2.442922374429224
C,Counties,6041,"Marin, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,12236.0,Marin,259943,184960,5527,438,15110,41527,15110,12236.0,100.0,0.8097948378557247
C,Counties,6055,"Napa, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,46526.0,Napa,139623,73210,2780,407,11196,47544,73210,46526.0,100.0,0.6355142740062832
C,Counties,6055,"Napa, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,2817.0,Napa,139623,73210,2780,407,11196,47544,2780,2817.0,100.0,1.0133093525179857
C,Counties,6055,"Napa, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,878.0,Napa,139623,73210,2780,407,11196,47544,407,878.0,100.0,2.157248157248157
C,Counties,6055,"Napa, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,5336.0,Napa,139623,73210,2780,407,11196,47544,11196,5336.0,100.0,0.4765987852804573
C,Counties,6075,"San Francisco, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,341944.0,San Francisco,874961,354423,43782,1634,298108,133314,354423,341944.0,100.0,0.9647906597483797
C,Counties,6075,"San Francisco, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,37711.0,San Francisco,874961,354423,43782,1634,298108,133314,43782,37711.0,100.0,0.8613357087387511
C,Counties,6075,"San Francisco, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,5060.0,San Francisco,874961,354423,43782,1634,298108,133314,1634,5060.0,100.0,3.0966952264381886
C,Counties,6075,"San Francisco, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,172972.0,San Francisco,874961,354423,43782,1634,298108,133314,298108,172972.0,100.0,0.5802326673554551
C,Counties,6081,"San Mateo, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,200685.0,San Mateo,767423,301123,16718,1158,217287,187248,301123,200685.0,100.0,0.66645523590028
C,Counties,6081,"San Mateo, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,17746.0,San Mateo,767423,301123,16718,1158,217287,187248,16718,17746.0,100.0,1.0614906089245124
C,Counties,6081,"San Mateo, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,3321.0,San Mateo,767423,301123,16718,1158,217287,187248,1158,3321.0,100.0,2.8678756476683938
C,Counties,6081,"San Mateo, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,116318.0,San Mateo,767423,301123,16718,1158,217287,187248,217287,116318.0,100.0,0.5353196463663266
C,Counties,6085,"Santa Clara, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,495298.0,Santa Clara,1927470,607903,45259,3366,699290,490978,607903,495298.0,100.0,0.8147648555772878
C,Counties,6085,"Santa Clara, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,38703.0,Santa Clara,1927470,607903,45259,3366,699290,490978,45259,38703.0,100.0,0.8551448330718752
C,Counties,6085,"Santa Clara, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,10152.0,Santa Clara,1927470,607903,45259,3366,699290,490978,3366,10152.0,100.0,3.016042780748663
C,Counties,6085,"Santa Clara, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,337204.0,Santa Clara,1927470,607903,45259,3366,699290,490978,699290,337204.0,100.0,0.48220909779919635
C,Counties,6095,"Solano, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,65628.0,Solano,441829,168060,59652,1254,66247,116869,168060,65628.0,100.0,0.39050339164584075
C,Counties,6095,"Solano, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,10218.0,Solano,441829,168060,59652,1254,66247,116869,59652,10218.0,100.0,0.17129350231341783
C,Counties,6095,"Solano, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,1513.0,Solano,441829,168060,59652,1254,66247,116869,1254,1513.0,100.0,1.2065390749601277
C,Counties,6095,"Solano, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,17890.0,Solano,441829,168060,59652,1254,66247,116869,66247,17890.0,100.0,0.27004996452669555
C,Counties,6097,"Sonoma, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,127173.0,Sonoma,499772,316022,7399,2343,20082,133569,316022,127173.0,100.0,0.40241818607565294
C,Counties,6097,"Sonoma, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,6612.0,Sonoma,499772,316022,7399,2343,20082,133569,7399,6612.0,100.0,0.8936342749020137
C,Counties,6097,"Sonoma, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,2982.0,Sonoma,499772,316022,7399,2343,20082,133569,2343,2982.0,100.0,1.2727272727272727
C,Counties,6097,"Sonoma, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2019-01-01,13847.0,Sonoma,499772,316022,7399,2343,20082,133569,20082,13847.0,100.0,0.6895229558808884
C,Counties,6001,"Alameda, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2020-01-01,338499.0,Alameda,1661584,508583,167316,4942,515105,369546,508583,363884.0,93.02387574062064,0.6655727776980355
C,Counties,6001,"Alameda, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2020-01-01,54607.0,Alameda,1661584,508583,167316,4942,515105,369546,167316,58681.0,93.05737802695933,0.32637046068517056
C,Counties,6001,"Alameda, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2020-01-01,7479.0,Alameda,1661584,508583,167316,4942,515105,369546,4942,8013.0,93.33582927742418,1.5133549170376366
C,Counties,6001,"Alameda, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2020-01-01,162245.0,Alameda,1661584,508583,167316,4942,515105,369546,515105,171851.0,94.41027401644448,0.3149746168256957
C,Counties,6013,"Contra Costa, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2020-01-01,186299.0,Contra Costa,1147788,489135,94463,2198,196904,295791,489135,198311.0,93.94284734583557,0.3808744007278154
C,Counties,6013,"Contra Costa, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2020-01-01,24209.0,Contra Costa,1147788,489135,94463,2198,196904,295791,94463,25315.0,95.63104878530515,0.25628023670643535
C,Counties,6013,"Contra Costa, CA",A,00,All NAICS Sectors,A05,All Private,A3,American Indian or Alaska Native Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2020-01-01,3615.0,Contra Costa,1147788,489135,94463,2198,196904,295791,2198,3711.0,97.41309620048504,1.6446769790718836
C,Counties,6013,"Contra Costa, CA",A,00,All NAICS Sectors,A05,All Private,A4,Asian Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2020-01-01,55805.0,Contra Costa,1147788,489135,94463,2198,196904,295791,196904,59839.0,93.25857718210531,0.28341222118392717
C,Counties,6041,"Marin, CA",A,00,All NAICS Sectors,A05,All Private,A1,White Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2020-01-01,58388.0,Marin,259441,183259,5565,246,14794,41737,183259,63542.0,91.88882943564887,0.3186091815408793
C,Counties,6041,"Marin, CA",A,00,All NAICS Sectors,A05,All Private,A2,Black or African American Alone,A0,All Ethnicities,0,All Firm Sizes,4133,2020-01-01,4694.0,Marin,259441,183259,5565,246,14794,41737,5565,4993.0,94.01161626276787,0.8434860736747529
