year_pd,firmsize,firmsize_label_value,n_employed,baseline_emp,recovery_index_all,county,pop_total,pop_white,pop_black,pop_native,pop_asian,pop_hispanic,jobs_per_capita
2018-01-01,0,All Firm Sizes,624186.0,633617.0,98.51156140065686,Alameda,1643700,523391,172329,5288,483067,369061,0.37974447891951085
2019-01-01,0,All Firm Sizes,633617.0,633617.0,100.0,Alameda,1656754,520447,171168,5210,496006,371019,0.38244482886415243
2020-01-01,0,All Firm Sizes,592027.0,633617.0,93.43609783197104,Alameda,1661584,508583,167316,4942,515105,369546,0.35630278096081813
2021-01-01,0,All Firm Sizes,597503.0,633617.0,94.30034232036071,Alameda,1673133,499730,166017,5248,524980,374542,0.3571162603331594
2022-01-01,0,All Firm Sizes,628668.0,633617.0,99.2189287850547,Alameda,1663823,487452,165390,4870,530999,369603,0.3778454799579042
2023-01-01,0,All Firm Sizes,649102.0,633617.0,102.44390538763955,Alameda,1651949,466445,159042,4002,528377,385245,0.39293101663550145
2024-01-01,0,All Firm Sizes,655549.0,633617.0,103.46139702691057,Alameda,1649473,452099,154136,3417,539370,386114,0.3974293607715919
2018-01-01,0,All Firm Sizes,298542.0,301908.0,98.88509082236972,Contra Costa,1133247,502951,93683,2376,182135,288101,0.26343947965447956
2019-01-01,0,All Firm Sizes,301908.0,301908.0,100.0,Contra Costa,1142251,500592,95892,2278,188237,292298,0.26430968324825277
2020-01-01,0,All Firm Sizes,283904.0,301908.0,94.03659392927646,Contra Costa,1147788,489135,94463,2198,196904,295791,0.24734881354396457
2021-01-01,0,All Firm Sizes,287080.0,301908.0,95.08857002795553,Contra Costa,1161643,483519,96256,2158,203875,304321,0.24713272494217242
2022-01-01,0,All Firm Sizes,300199.0,301908.0,99.4339335161705,Contra Costa,1162648,471751,97612,1960,209562,306895,0.2582028266508866
2023-01-01,0,All Firm Sizes,306811.0,301908.0,101.62400466367238,Contra Costa,1161458,455961,94864,1806,212373,316799,0.2641602193105562
2024-01-01,0,All Firm Sizes,306798.0,301908.0,101.61969871616519,Contra Costa,1165012,443990,92564,1832,217115,321749,0.2633432101986932
2018-01-01,0,All Firm Sizes,85715.0,85556.0,100.18584319042499,Marin,260295,185809,5597,435,14815,41335,0.3292994487024338
2019-01-01,0,All Firm Sizes,85556.0,85556.0,100.0,Marin,259943,184960,5527,438,15110,41527,0.3291336946946061
2020-01-01,0,All Firm Sizes,78760.0,85556.0,92.05666464070316,Marin,259441,183259,5565,246,14794,41737,0.3035757648174344
2021-01-01,0,All Firm Sizes,79825.0,85556.0,93.30146336902146,Marin,262387,182830,5508,274,15693,43043,0.3042262002309566
2022-01-01,0,All Firm Sizes,83069.0,85556.0,97.09313198372995,Marin,260485,180340,5725,249,16170,43143,0.31890128030404824
2023-01-01,0,All Firm Sizes,84718.0,85556.0,99.02052456870354,Marin,258765,172256,5544,189,15755,49128,0.32739358104844163
2024-01-01,0,All Firm Sizes,86308.0,85556.0,100.87895647295339,Marin,257969,167816,5379,166,15705,50216,0.33456733173365794
2018-01-01,0,All Firm Sizes,55657.0,57847.0,96.21415112278943,Napa,140530,74159,2764,326,11210,47687,0.3960506653383619
2019-01-01,0,All Firm Sizes,57847.0,57847.0,100.0,Napa,139623,73210,2780,407,11196,47544,0.41430853082944785
2020-01-01,0,All Firm Sizes,53143.0,57847.0,91.86820405552578,Napa,138572,71817,2738,467,10383,47300,0.38350460410472537
2021-01-01,0,All Firm Sizes,51105.0,57847.0,88.34511729216726,Napa,138795,70719,2750,327,10661,48198,0.3682049065168054
2022-01-01,0,All Firm Sizes,55440.0,57847.0,95.83902363130326,Napa,137384,69244,2405,273,10866,48182,0.40354044139055495
2023-01-01,0,All Firm Sizes,57793.0,57847.0,99.90665030165782,Napa,136070,67232,2440,254,10570,48801,0.42472991842434044
2024-01-01,0,All Firm Sizes,59342.0,57847.0,102.58440368558439,Napa,134869,65479,2292,214,10875,49046,0.4399973307431656
2018-01-01,0,All Firm Sizes,561610.0,583368.0,96.27027879486019,San Francisco,870044,353670,43619,1363,294846,132651,0.645496089852927
2019-01-01,0,All Firm Sizes,583368.0,583368.0,100.0,San Francisco,874961,354423,43782,1634,298108,133314,0.6667360030904235
2020-01-01,0,All Firm Sizes,545555.0,583368.0,93.51815663526281,San Francisco,874784,348449,42803,1796,297279,132865,0.6236453798880638
2021-01-01,0,All Firm Sizes,513678.0,583368.0,88.05385279960505,San Francisco,865933,339050,42642,1675,295385,133241,0.5932075576285926
2022-01-01,0,All Firm Sizes,567926.0,583368.0,97.35295730996557,San Francisco,851036,325900,41934,1758,294027,131517,0.6673348718503095
2023-01-01,0,All Firm Sizes,582283.0,583368.0,99.81401105305741,San Francisco,836321,313559,40243,1691,290116,133266,0.6962434280617131
2024-01-01,0,All Firm Sizes,563371.0,583368.0,96.5721465695753,San Francisco,830235,305647,38925,1520,290030,134659,0.6785681162562407
2018-01-01,0,All Firm Sizes,339291.0,354781.0,95.6339262812834,San Mateo,765935,303047,16838,1151,212474,189002,0.44297623166456684
2019-01-01,0,All Firm Sizes,354781.0,354781.0,100.0,San Mateo,767423,301123,16718,1158,217287,187248,0.4623017553552604
2020-01-01,0,All Firm Sizes,337604.0,354781.0,95.15842167421592,San Mateo,765623,295172,16772,1021,222208,184490,0.44095331514335384
2021-01-01,0,All Firm Sizes,335482.0,354781.0,94.56030621707477,San Mateo,762488,287872,16751,1035,225352,183970,0.43998331777024685
2022-01-01,0,All Firm Sizes,352269.0,354781.0,99.29195757382723,San Mateo,754250,279215,16015,976,228200,180393,0.4670454093470335
2023-01-01,0,All Firm Sizes,360162.0,354781.0,101.51671030861291,San Mateo,745100,266446,15321,898,226967,185378,0.4833740437525164
2024-01-01,0,All Firm Sizes,362035.0,354781.0,102.04464162398776,San Mateo,742340,257595,14709,861,230413,184940,0.4876943179675082
2018-01-01,0,All Firm Sizes,895488.0,916981.0,97.65611283112736,Santa Clara,1922200,615912,45379,3003,685265,495455,0.4658661949849131
2019-01-01,0,All Firm Sizes,916981.0,916981.0,100.0,Santa Clara,1927470,607903,45259,3366,699290,490978,0.4757433319325333
2020-01-01,0,All Firm Sizes,880773.0,916981.0,96.05139037777228,Santa Clara,1924379,589644,44917,3063,720355,482101,0.4576920658560502
2021-01-01,0,All Firm Sizes,881534.0,916981.0,96.13438010165969,Santa Clara,1932022,576892,44951,3057,732915,485092,0.45627534262032216
2022-01-01,0,All Firm Sizes,930659.0,916981.0,101.49163395970035,Santa Clara,1916831,559111,43576,2973,742635,476352,0.4855195893639032
2023-01-01,0,All Firm Sizes,961619.0,916981.0,104.86793074229455,Santa Clara,1903297,537099,42949,2799,748112,477632,0.5052385413311743
2024-01-01,0,All Firm Sizes,963429.0,916981.0,105.06531760200049,Santa Clara,1902047,517612,41721,3181,766176,475827,0.5065221837315271
2018-01-01,0,All Firm Sizes,99963.0,101216.0,98.7620534302877,Solano,438530,168870,59500,1258,65994,114406,0.2279501972499031
2019-01-01,0,All Firm Sizes,101216.0,101216.0,100.0,Solano,441829,168060,59652,1254,66247,116869,0.22908410267320614
2020-01-01,0,All Firm Sizes,95021.0,101216.0,93.87942617767942,Solano,444538,165326,59249,1497,67107,119294,0.21375225515029087
2021-01-01,0,All Firm Sizes,96252.0,101216.0,95.0956370534303,Solano,451432,163975,59348,1507,68641,124118,0.2132148363430151
2022-01-01,0,All Firm Sizes,100644.0,101216.0,99.43487195700284,Solano,450995,160034,58379,1592,69009,126198,0.22315990199447888
2023-01-01,0,All Firm Sizes,101869.0,101216.0,100.64515491621877,Solano,450824,154748,56789,1252,70209,130628,0.22596179440313738
2024-01-01,0,All Firm Sizes,104315.0,101216.0,103.06176889029402,Solano,451918,150061,55694,1080,71955,133953,0.2308272739744821
2018-01-01,0,All Firm Sizes,152167.0,157074.0,96.87599475406496,Sonoma,501317,318237,7192,2068,19720,132985,0.30353449015293715
2019-01-01,0,All Firm Sizes,157074.0,157074.0,100.0,Sonoma,499772,316022,7399,2343,20082,133569,0.3142913168404793
2020-01-01,0,All Firm Sizes,147873.0,157074.0,94.14225142289622,Sonoma,496801,310607,7380,2214,20733,134024,0.2976503670483755
2021-01-01,0,All Firm Sizes,146735.0,157074.0,93.41775214230236,Sonoma,492498,303803,7190,1880,21034,135683,0.29794029620424856
2022-01-01,0,All Firm Sizes,155047.0,157074.0,98.70952544660479,Sonoma,488436,297441,7012,1527,21167,136614,0.317435651753761
2023-01-01,0,All Firm Sizes,157260.0,157074.0,100.1184155238932,Sonoma,485642,287210,7062,1482,20857,142986,0.3238187800890368
2024-01-01,0,All Firm Sizes,159518.0,157074.0,101.55595451825255,Sonoma,485040,280966,7185,1486,21090,145518,0.3288759689922481
