"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0500000US06001","Alameda County, California","1651949","*****","1266704","*****","466445","1170","159042","1736","4002","418","528377","2269","11651","588","10314","1134","86873","3145","11172","1200","75701","2649","385245","*****","61951","3043","4817","729","10762","1197","4173","752","658","205","202871","5029","100013","4251","79123","4202","20890","1802",
"0500000US06013","Contra Costa County, California","1161458","*****","844659","*****","455961","1843","94864","1594","1806","353","212373","2008","5158","442","7601","1065","66896","2940","10445","1316","56451","2405","316799","*****","49241","3168","3482","707","8135","1485","2585","570","435","211","151199","4574","101722","4651","84183","4385","17539","2012",
"0500000US06041","Marin County, California","258765","*****","209637","*****","172256","823","5544","534","189","82","15755","693","417","143","2028","589","13448","964","3466","675","9982","791","49128","*****","10011","1169","526","335","1341","533","286","158","0","32","22704","1973","14260","1697","11930","1650","2330","625",
"0500000US06055","Napa County, California","136070","*****","87269","*****","67232","417","2440","181","254","75","10570","485","388","128","603","255","5782","652","981","358","4801","527","48801","*****","14479","1708","185","97","1018","406","330","215","8","13","19538","1810","13243","1498","11913","1537","1330","356",
"0500000US06075","San Francisco County, California","836321","*****","703055","*****","313559","1123","40243","1147","1691","316","290116","1656","2825","390","6461","1248","48160","2295","6876","883","41284","2021","133266","*****","25081","1521","2304","735","3833","882","2361","397","316","148","58353","2359","41018","2452","33950","2512","7068","929",
"0500000US06081","San Mateo County, California","745100","*****","559722","*****","266446","1094","15321","680","898","220","226967","1620","8110","611","6264","1071","35716","1803","6957","1153","28759","1534","185378","*****","36738","2368","1213","445","7090","1389","2451","525","400","266","80010","3560","57476","3527","48527","3395","8949","1041",
"0500000US06085","Santa Clara County, California","1903297","*****","1425665","*****","537099","1395","42949","1158","2799","405","748112","2373","6956","503","9006","1005","78744","2594","10926","1161","67818","2593","477632","*****","94866","3606","2376","537","11780","1505","3581","547","550","279","191939","5588","172540","5472","150691","5511","21849","1968",
"0500000US06095","Solano County, California","450824","*****","320196","*****","154748","679","56789","1289","1252","299","70209","1513","3673","384","3928","1036","29597","2176","2369","508","27228","2064","130628","*****","37957","2560","1314","388","2213","630","1479","390","701","352","51407","3078","35557","2247","26639","2139","8918","1121",
"0500000US06097","Sonoma County, California","485642","*****","342656","*****","287210","970","7062","558","1482","370","20857","727","1511","221","2311","538","22223","1454","4666","923","17557","978","142986","*****","26271","2102","484","154","4704","971","682","210","282","266","66254","3222","44309","2487","36526","2351","7783","1094",
